NA,uid,city_id,city_dev_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience_years,company_size,company_type,last_new_job,training_hours,change_job
4288,18680,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,19,10/49,Pvt Ltd,>4,66,0
4289,24029,city_21,0.624,NA,Has relevent experience,Full time course,Masters,STEM,6,100-500,NA,never,114,1
4290,25501,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,5,NA,NA,1,96,1
4291,15621,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,76,0
4292,15625,city_100,0.887,NA,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,NA,1,102,0
4293,21734,city_61,0.913,Male,Has relevent experience,no_enrollment,High School,NA,10,10/49,Early Stage Startup,>4,96,0
4294,16894,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,1,31,0
4295,24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0
4296,1728,city_16,0.91,Male,No relevent experience,Full time course,High School,NA,5,NA,NA,1,44,0
4297,5586,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,3,NA,Pvt Ltd,never,18,1
4298,12469,city_45,0.89,Male,Has relevent experience,no_enrollment,Primary School,NA,7,10/49,Pvt Ltd,2,20,0
4299,26051,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,1,168,0
4300,19415,city_126,0.479,NA,Has relevent experience,no_enrollment,Phd,Humanities,>20,NA,NA,>4,79,1
4301,15071,city_114,0.926,Male,No relevent experience,Full time course,Graduate,No Major,8,NA,NA,2,18,1
4302,4823,city_123,0.738,NA,Has relevent experience,no_enrollment,Graduate,STEM,NA,100-500,Pvt Ltd,NA,9,1
4303,22567,city_152,0.698,NA,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,1,50,1
4304,12597,city_28,0.939,Male,No relevent experience,no_enrollment,Graduate,Humanities,12,50-99,Public Sector,>4,22,0
4305,12848,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,NA,Pvt Ltd,3,83,0
4306,6901,city_100,0.887,NA,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,324,0
4307,1269,city_61,0.913,NA,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,>4,11,0
4308,31229,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,2,32,1
4309,18852,city_114,0.926,Male,No relevent experience,no_enrollment,High School,NA,2,10/49,Funded Startup,2,59,0
4310,18906,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,54,0
4311,31902,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,105,0
4312,2524,city_21,0.624,Female,Has relevent experience,no_enrollment,Masters,STEM,5,<10,NA,1,20,1
4313,26025,city_102,0.804,Male,No relevent experience,Full time course,Graduate,STEM,3,NA,NA,never,73,1
4314,17123,city_21,0.624,NA,No relevent experience,Full time course,Graduate,STEM,NA,NA,NA,NA,32,0
4315,17091,city_103,0.92,Male,No relevent experience,Full time course,High School,NA,1,NA,NA,1,45,0
4316,21693,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Pvt Ltd,>4,36,0
4317,3522,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,2,106,0
4318,2405,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,Other,6,1000-4999,Pvt Ltd,1,4,0
4319,1833,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,1,131,0
4320,9046,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,104,0
4321,7896,city_67,0.855,Female,Has relevent experience,no_enrollment,High School,NA,2,100-500,NGO,1,24,0
4322,28909,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,No Major,<1,100-500,Pvt Ltd,1,76,0
4323,10841,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,54,0
4324,23522,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,NA,4,130,0
4325,10333,city_115,0.789,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,46,0
4326,1569,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,46,0
4327,23847,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,NA,4,NA,NA,never,15,0
4328,29064,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,1,14,1
4329,20808,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,2,246,0
4330,12739,city_83,0.923,NA,No relevent experience,Full time course,High School,NA,7,50-99,NA,NA,108,0
4331,15602,city_103,0.92,NA,No relevent experience,NA,NA,NA,6,NA,NA,never,8,0
4332,10054,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,13,500-999,Funded Startup,4,52,0
4333,19382,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,3,3,1
4334,25997,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,1,72,0
4335,28522,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,4,20,0
4336,12600,city_102,0.804,NA,Has relevent experience,no_enrollment,High School,NA,4,50-99,Pvt Ltd,1,81,0
4337,16414,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,1,53,0
4338,17776,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,NA,NA,1,190,0
4339,24918,city_114,0.926,Male,No relevent experience,no_enrollment,High School,NA,5,10000+,NA,>4,46,0
4340,17402,city_21,0.624,NA,No relevent experience,no_enrollment,Graduate,STEM,3,NA,NA,NA,46,1
4341,5687,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,20,0
4342,8137,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,1,194,0
4343,32030,city_12,0.64,Male,No relevent experience,Full time course,Graduate,STEM,5,NA,NA,1,47,0
4344,23591,city_23,0.899,Male,Has relevent experience,Part time course,Graduate,STEM,>20,100-500,Pvt Ltd,2,83,1
4345,16925,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,NA,NA,>4,312,0
4346,22603,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,<1,<10,Pvt Ltd,1,114,0
4347,26818,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,18,5000-9999,Pvt Ltd,1,60,0
4348,22730,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,1,21,0
4349,29905,city_136,0.897,Female,Has relevent experience,no_enrollment,Masters,STEM,12,NA,NA,>4,35,0
4350,13022,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,36,0
4351,26947,city_23,0.899,Male,No relevent experience,no_enrollment,Masters,Other,16,NA,NA,never,35,0
4352,16396,city_76,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,40,0
4353,11747,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,88,0
4354,10318,city_131,0.68,Male,Has relevent experience,Part time course,Graduate,STEM,4,NA,NA,1,46,1
4355,3832,city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,NA,NA,1,158,0
4356,12211,city_126,0.479,NA,No relevent experience,no_enrollment,NA,NA,1,NA,NA,never,316,1
4357,23604,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,NGO,>4,18,0
4358,17339,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,NA,NA,never,62,1
4359,30305,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,68,0
4360,14579,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,never,99,0
4361,17315,city_90,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,NGO,1,282,0
4362,12912,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,NA,NA,1,50,1
4363,33222,city_21,0.624,Male,No relevent experience,no_enrollment,High School,NA,<1,NA,Pvt Ltd,never,35,0
4364,14230,city_160,0.92,Male,No relevent experience,Full time course,Masters,STEM,4,NA,NA,2,29,1
4365,13072,city_83,0.923,Female,Has relevent experience,no_enrollment,Phd,STEM,11,5000-9999,Pvt Ltd,1,54,0
4366,25752,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Funded Startup,1,41,0
4367,26594,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,20,1000-4999,Public Sector,1,43,1
4368,9146,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,300,0
4369,27500,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,2,55,0
4370,21719,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,4,500-999,Public Sector,1,18,0
4371,31967,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Early Stage Startup,never,102,0
4372,14556,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,4,5000-9999,Pvt Ltd,never,25,1
4373,16737,city_116,0.743,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,4,0
4374,17857,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,Arts,4,NA,NA,never,51,1
4375,5582,city_102,0.804,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,>4,100,0
4376,22321,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,14,NA,NA,never,88,0
4377,18014,city_162,0.767,Male,No relevent experience,Full time course,Graduate,STEM,<1,NA,NA,never,2,0
4378,32476,city_103,0.92,NA,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,326,0
4379,2747,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Funded Startup,1,16,0
4380,32760,city_114,0.926,Male,No relevent experience,Part time course,High School,NA,4,NA,NA,never,59,0
4381,12269,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Funded Startup,1,65,0
4382,13960,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,4,50-99,Pvt Ltd,1,59,0
4383,29360,city_21,0.624,Male,No relevent experience,no_enrollment,High School,NA,4,NA,NA,never,44,1
4384,4798,city_160,0.92,Female,No relevent experience,no_enrollment,Graduate,Arts,1,NA,NA,1,29,0
4385,17125,city_103,0.92,NA,No relevent experience,NA,NA,NA,2,NA,NA,never,146,0
4386,19770,city_11,0.55,Male,No relevent experience,Full time course,Graduate,STEM,5,10/49,NA,1,102,1
4387,30355,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,56,0
4388,17298,city_136,0.897,Female,No relevent experience,Full time course,Graduate,STEM,4,10000+,Public Sector,1,47,0
4389,1051,city_99,0.915,Male,No relevent experience,Full time course,Graduate,STEM,3,NA,NA,1,16,1
4390,7826,city_36,0.893,Male,Has relevent experience,no_enrollment,High School,NA,12,NA,NA,2,4,0
4391,7162,city_114,0.926,Male,No relevent experience,Full time course,High School,NA,13,NA,NA,never,57,0
4392,32928,city_16,0.91,Female,No relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,28,1
4393,9035,city_21,0.624,Male,No relevent experience,no_enrollment,High School,NA,3,NA,NA,never,81,0
4394,12977,city_16,0.91,Male,No relevent experience,no_enrollment,Masters,Humanities,3,1000-4999,Public Sector,1,148,0
4395,1083,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,1,68,0
4396,21325,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,19,500-999,Pvt Ltd,4,88,1
4397,9801,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,2,87,0
4398,21933,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,11,0
4399,10914,city_103,0.92,NA,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,2,39,0
4400,23569,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,1,42,0
4401,33307,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,4,45,0
4402,27947,city_173,0.878,Male,No relevent experience,no_enrollment,High School,NA,10,NA,NA,1,17,1
4403,32676,city_114,0.926,NA,No relevent experience,Full time course,Graduate,Other,1,10/49,Early Stage Startup,1,14,0
4404,6306,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Pvt Ltd,>4,90,0
4405,7562,city_28,0.939,Male,No relevent experience,Full time course,High School,NA,7,NA,NA,never,12,0
4406,24562,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,36,0
4407,14872,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,1,10,0
4408,10533,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Other,3,11,0
4409,29669,city_103,0.92,Male,Has relevent experience,no_enrollment,High School,NA,19,NA,NA,4,29,0
4410,21617,city_134,0.698,NA,No relevent experience,no_enrollment,NA,NA,NA,NA,NA,never,45,0
4411,18237,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,25,0
4412,17995,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,500-999,Funded Startup,2,50,0
4413,24615,city_103,0.92,Female,No relevent experience,no_enrollment,Phd,STEM,17,100-500,NGO,4,16,0
4414,18179,city_162,0.767,Male,No relevent experience,Full time course,Graduate,STEM,5,NA,NA,1,17,1
4415,5657,city_13,0.827,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,16,0
4416,25683,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Early Stage Startup,1,38,1
4417,20328,city_103,0.92,Male,No relevent experience,no_enrollment,High School,NA,4,NA,NA,1,7,0
4418,26813,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,10000+,Pvt Ltd,1,29,0
4419,15603,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,NA,2,140,0
4420,15983,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,8,100-500,Pvt Ltd,1,72,0
4421,16059,city_114,0.926,NA,Has relevent experience,no_enrollment,High School,NA,2,10/49,Pvt Ltd,1,70,0
4422,2029,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,50-99,Funded Startup,2,4,0
4423,14129,city_173,0.878,Male,Has relevent experience,no_enrollment,High School,NA,17,NA,NA,1,34,0
4424,27016,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,NA,3,100-500,Pvt Ltd,1,80,0
4425,29153,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,1,127,0
4426,27171,city_157,0.769,Male,Has relevent experience,Part time course,Masters,STEM,7,50-99,NA,3,13,0
4427,10926,city_136,0.897,NA,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,246,0
4428,2386,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,16,0
4429,23470,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,34,0
4430,17095,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,3,21,0
4431,21371,city_21,0.624,Female,Has relevent experience,no_enrollment,Masters,Business Degree,10,50-99,Pvt Ltd,1,15,1
4432,14820,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,3,112,0
4433,17120,city_115,0.789,NA,Has relevent experience,Full time course,Masters,STEM,9,10/49,Pvt Ltd,4,6,1
4434,8328,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,9,1
4435,21980,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,>4,41,0
4436,30895,city_136,0.897,NA,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,NA,1,160,0
4437,18066,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,NA,8,<10,Early Stage Startup,1,166,0
4438,11540,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,NGO,>4,118,0
4439,26592,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,No Major,4,100-500,NA,4,56,0
4440,24671,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,20,100-500,NGO,4,35,0
4441,27357,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,Arts,18,100-500,Public Sector,2,60,0
4442,25673,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,2,62,0
4443,31094,city_138,0.836,Male,Has relevent experience,Full time course,Graduate,STEM,3,NA,NA,2,11,0
4444,1557,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,31,0
4445,17209,city_21,0.624,NA,No relevent experience,no_enrollment,Graduate,STEM,<1,1000-4999,Pvt Ltd,never,157,0
4446,33054,city_103,0.92,Male,No relevent experience,Full time course,High School,NA,2,NA,NA,1,9,0
4447,9543,city_30,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,>4,17,0
4448,26002,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,NA,NA,never,80,1
4449,33045,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,2,48,0
4450,14350,city_83,0.923,Male,No relevent experience,no_enrollment,Masters,Humanities,1,NA,NA,NA,74,1
4451,14502,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,>4,30,0
4452,19531,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,50,0
4453,24839,city_25,0.698,NA,No relevent experience,Full time course,Graduate,STEM,2,NA,NA,never,112,1
4454,16078,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10000+,Other,>4,45,0
4455,12315,city_143,0.74,Female,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,40,0
4456,5982,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,98,0
4457,7850,city_64,0.666,Male,Has relevent experience,Full time course,Masters,STEM,>20,<10,Pvt Ltd,never,98,0
4458,20284,city_103,0.92,NA,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,54,0
4459,14188,city_7,0.647,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,>4,110,0
4460,3430,city_152,0.698,NA,No relevent experience,NA,High School,NA,2,NA,NA,never,43,0
4461,18480,city_138,0.836,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,NA,NA,never,43,0
4462,25048,city_21,0.624,NA,No relevent experience,Full time course,Graduate,STEM,3,NA,NA,NA,67,1
4463,16375,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,<1,10/49,Pvt Ltd,1,4,0
4464,17009,city_103,0.92,NA,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,3,43,0
4465,25309,city_16,0.91,Other,No relevent experience,no_enrollment,Masters,Humanities,15,10000+,Pvt Ltd,3,51,0
4466,17687,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,30,1
4467,1006,city_91,0.691,Male,Has relevent experience,Full time course,Graduate,STEM,1,NA,NA,1,9,1
4468,26013,city_65,0.802,Male,Has relevent experience,Part time course,Graduate,STEM,9,1000-4999,Pvt Ltd,1,149,0
4469,658,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,2,19,0
4470,32781,city_101,0.558,Male,No relevent experience,Full time course,High School,NA,2,NA,NA,never,100,0
4471,19622,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Funded Startup,>4,2,0
4472,25379,city_114,0.926,Male,No relevent experience,no_enrollment,Masters,Humanities,2,100-500,Public Sector,2,30,1
4473,25209,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,1,5000-9999,Pvt Ltd,1,68,1
4474,3089,city_21,0.624,NA,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,32,1
4475,32933,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,>4,34,0
4476,20654,city_21,0.624,NA,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,2,42,1
4477,9943,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,28,0
4478,218,city_103,0.92,NA,Has relevent experience,no_enrollment,Graduate,Other,3,100-500,Pvt Ltd,2,106,0
4479,25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0
4480,31946,city_11,0.55,Female,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,never,51,0
4481,6466,city_21,0.624,NA,No relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,1,39,0
4482,49,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,10000+,Pvt Ltd,2,36,0
4483,31293,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,44,0
4484,10409,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,84,0
4485,11893,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,4,52,0
4486,15119,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,>4,11,0
4487,7414,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,39,0
4488,29251,city_166,0.649,NA,Has relevent experience,Full time course,NA,NA,5,<10,Other,NA,188,0
4489,3626,city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,3,1000-4999,NA,1,148,0
4490,20530,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,never,66,0
4491,18899,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,NGO,never,232,0
4492,17241,city_115,0.789,Male,Has relevent experience,Full time course,Graduate,STEM,11,500-999,Pvt Ltd,4,130,1
4493,19891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,42,1
4494,23328,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,3,NA,NA,1,45,1
4495,10487,city_89,0.925,Male,No relevent experience,no_enrollment,Graduate,STEM,10,500-999,Public Sector,1,32,0
4496,27191,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,1,53,0
4497,2254,city_64,0.666,NA,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,42,0
4498,31366,city_8,0.698,Male,Has relevent experience,no_enrollment,High School,NA,>20,NA,NA,>4,10,0
4499,30662,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,NA,NA,1,28,0
4500,23358,city_90,0.698,Male,Has relevent experience,NA,NA,NA,9,NA,NA,1,31,0
4501,10719,city_102,0.804,NA,Has relevent experience,no_enrollment,Masters,STEM,15,1000-4999,Pvt Ltd,1,11,0
4502,8157,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,15,NA,NA,>4,103,1
4503,30686,city_50,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,44,0
4504,11419,city_99,0.915,Female,Has relevent experience,Part time course,Graduate,STEM,>20,100-500,Public Sector,2,105,0
4505,5136,city_104,0.924,Male,Has relevent experience,no_enrollment,Phd,Humanities,>20,NA,NA,1,62,0
4506,5870,city_100,0.887,Male,No relevent experience,no_enrollment,High School,NA,11,NA,Pvt Ltd,>4,29,0
4507,6685,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,NA,NA,>4,47,0
4508,4,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,9,50-99,Public Sector,>4,13,0
4509,11891,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10/49,Pvt Ltd,2,77,0
4510,4266,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,65,0
4511,8,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,13,100-500,Funded Startup,2,12,0
4512,2026,city_28,0.939,Male,No relevent experience,no_enrollment,High School,NA,2,100-500,Other,2,16,0
4513,18307,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,NA,NA,1,44,1
4514,20534,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,4,26,0
4515,29397,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,NGO,2,17,0
4516,31156,city_61,0.913,Male,Has relevent experience,no_enrollment,High School,NA,>20,10/49,Pvt Ltd,1,77,0
4517,31779,city_134,0.698,NA,Has relevent experience,no_enrollment,Masters,STEM,6,NA,NA,NA,36,0
4518,2347,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,10,50-99,Pvt Ltd,1,99,0
4519,21824,city_160,0.92,NA,Has relevent experience,no_enrollment,Masters,STEM,16,NA,NA,NA,91,1
4520,23340,city_21,0.624,Female,Has relevent experience,Full time course,Graduate,No Major,3,10/49,NA,1,78,1
4521,12132,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,4,17,0
4522,4058,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,NA,NA,1,32,1
4523,17400,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,NA,NA,never,10,0
4524,2096,city_36,0.893,NA,Has relevent experience,Part time course,Graduate,STEM,10,50-99,Pvt Ltd,3,54,0
4525,6035,city_114,0.926,NA,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,1,2,0
